Název provozovatele,B/H - IČ provozovatele (u fyzické osoby pokud bylo přiděleno),C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - ulice,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - PSČ,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - obec,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - okres,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - kraj,"C/CH - datová schránka, má-li ji subjekt zřízenou",D - předmět činnosti,E - právní forma,G - datum narození provozovatele - fyzické osoby,I - NÁZEV KNIHOVNY,R - EVIDENČNÍ ČÍSLO KNIHOVNY,J - druh knihovny,Kategorie - pomocný sloupec,K - adresa knihovny: ulice,K - adresa knihovny: PSČ,K - adresa knihovny: město,K - adresa knihovny: okres,K - adresa knihovny: kraj,M - emailový kontakt na autora záznamu,N - e-mailový kontakt na knihovnu,"O - odkaz na webovou stránku knihovny, respektive odkaz na informace o knihovně na webových stránkách provozovatele",P - provozní doba knihovny,Q - další informace,X - sigla,S - datum vytvoření záznamu,T - datum evidence knihovny,XXT - schvalovatel záznamu,U - datum aktualizace záznamu,XXU - schvalovatel aktualizace záznamu,aktivní / zrušená (vyřazená z evidence),V - datum vyřazení,XXV - vyřadil z evidence,W - důvod vyřazení z evidence,Y - číslo jednací,Poznámka
Obec Miřetice,270504,Miřetice 66,539 55,Miřetice,Chrudim,Pardubický,,obecní úřad,,,Místní knihovna Švihov,55,základní,public,Švihov 29,538 25,Nasavrky,Chrudim,Pardubický,, ,, ,, ,2003-05-30,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 7413/2002,
Obec Miřetice,270504,Miřetice 66,539 55,Miřetice,Chrudim,Pardubický,,obecní úřad,,,Místní knihovna Miřetice,56,základní,public,Miřetice 66,539 55,Miřetice,Chrudim,Pardubický,, ,, ,, ,2003-05-30,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 7413/2002,
Obec Karle,579564,Karle 4,568 02,Svitavy 2,Svitavy,Pardubický,,obecní úřad,,,Obecní knihovna v Karli,57,základní,public,Karle 4,568 02,Svitavy 2,Svitavy,Pardubický,, ,, ,, ,2003-05-30,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 7414/2002,
Město Seč,270881,Chrudimská 1,538 07,Seč,Chrudim,Pardubický,,obecní úřad,,,Městská knihovna v Seči,58,základní,public,Chrudimská 94,538 07,Seč,Chrudim,Pardubický,, ,, ,, ,2003-05-30,2002-07-16 00:00:00,Čermáková,2017-06-01 00:00:00,Švastová,A,, ,,k 7533/2002,
Obec Velké Chvojno,66109973,Velké Chvojno 24,403 34,Velké Chvojno,Ústí nad Labem,Ústecký,,obecní úřad,,,Obecní knihovna Velké Chvojno,59,základní,public,Velké Chvojno 55,403 34,Velké Chvojno,Ústí nad Labem,Ústecký,, ,,17.00-18.30 ,, ,2003-05-30,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 7631/2002,
Obec Kočí,270288,Kočí,538 61,Kočí,Chrudim,Pardubický,,obecní úřad,,,Místní knihovna v Kočí,60,základní,public,Kočí 92,538 61,Kočí,Chrudim,Pardubický,, ,, ,, ,2003-05-30,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 7605/2002,
Obec Čankovice,485969,Čankovice 87,538 62,Čankovice,Chrudim,Pardubický,,obecní úřad,,,Obecní knihovna v Čankovicích,61,základní,public,Čankovice 1,538 62,Čankovice,Chrudim,Pardubický,, ,, ,, ,2003-05-30,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 7691/2002,
Obec Božice,292567,Božice 380,671 64,Božice,Znojmo,Jihomoravský,,obecní úřad,,,Obecní knihovna v Božicích,62,základní,public,Božice 380,671 64,Božice,Znojmo,Jihomoravský,, ,,"7.00-12.00, 13.00-17.00  -  7.00-12.00, 13.00-15.00 - 7.00-12.00, 13.00-17.00 - 7.00-12.00, 13.00-15.00 - 7.00-13.30 ",,ZNG507,2003-05-30,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 7712/2002,
Obec Krásné,270326,Krásné 15,538 25,Nasavrky,Chrudim,Pardubický,,obecní úřad,,,Místní knihovna v Krásném,63,základní,public,Krásné 15,538 25,Nasavrky,Chrudim,Pardubický,, ,, ,, ,2003-05-30,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 7769/2002,
Město Ronov nad Doubravou,270822,Chitussiho nám. 150,538 42,Ronov nad Doubravou,Chrudim,Pardubický,,městský úřad,,,Městská knihovna Ronov nad Doubravou,64,základní,public,Chitussiho nám. 151,538 42,Ronov nad Doubravou,Chrudim,Pardubický,, ,, ,,CRG509,2003-05-30,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 7771/2002,
Obec Rozhovice,496979,Rozhovice 46,538 03,Heřmanův Městec,Chrudim,Pardubický,,obecní úřad,,,Obecní knihovna Rozhovice,65,základní,public,Rozhovice 46,538 03,Heřmanův Městec,Chrudim,Pardubický,, ,, ,, ,2003-05-30,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 7938/2002,
Obec Záboří nad Labem,236624,Záhoří nad Labem 164,285 74,Záhoří nad Labem,Kutná Hora,Středočeský,,obecní úřad,,,Obecní knihovna Záboří nad Labem,66,základní,public,Záhoří nad Labem 164,285 74,Záhoří nad Labem,Kutná Hora,Středočeský,, ,, ,, ,2003-05-30,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 7973/2002,
Ústav pro péči o matku a dítě,23698,Podolské nábř. 157,147 10,Praha,Praha,Hlavní město Praha,,poskytování zdravotnických služeb v oblasti péče o ženu a ranného vývoje dítěte,,,Středisko vědeckých lékařských informací - lékařská knihovna Ústavu pro péči o matku a dítě,67,základní se specializovaným knihovním fondem,lékařská,Podolské nábř. 157,147 10,Praha,Praha,Hlavní město Praha,, ,, ,,ABC017,2003-05-30,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 7985/2002,
Obec Rosice,270831,Rosice 96,538 34,Rosice,Chrudim,Pardubický,,obecní úřad,,,Obecní knihovna Rosice,68,základní,public,Rosice 18,538 34,Rosice,Chrudim,Pardubický,, ,,15.00-18.00 ,,BOG513,2003-05-30,2002-07-16 00:00:00,Čermáková,2022-03-17 00:00:00,St. Firstová,A,, ,,k 7980/2002,
Jihočeská vědecká knihovna v Českých Budějovicích,73504,U Zimního stadionu 1952/2,370 79,České Budějovice,České Budějovice,Jihočeský,,poskytování veřejných knihovnických a informačních služeb,,,Jihočeská vědecká knihovna v Českých Budějovicích,69,specializovaná,krajská,Na Sadech 27,370 59,České Budějovice,České Budějovice,Jihočeský,, ,www.cbvk.cz, ,,CBA001,2003-05-30,2002-07-16 00:00:00,Čermáková,2012-03-19 00:00:00,M. Fojtík,A,,,,k 8010/2002,
Městys Višňové,293784,Višňové,671 38,Višňové,Znojmo,Jihomoravský,,obecní úřad,,,Obecní knihovna ve Višňovém,70,základní,public,Višňové 127,671 38,Višňové,Znojmo,Jihomoravský,, ,www.knihovnasyrovatka.webz.cz,11.30-19.00 - 11.30-19.00 ,,ZNG506,2003-05-30,2002-07-16 00:00:00,Čermáková,2007-05-26 00:00:00,St. Firstová,A,,,,k 8043/2002,
Město Nové Sedlo,259527,Masarykova 502,357 34,Nové Sedlo,Sokolov,Karlovarský,,obecní úřad,,,Městská knihovna Nové Sedlo,71,základní,public,Masarykova 502,357 34,Nové Sedlo,Sokolov,Karlovarský,, ,http://www.knihovnanovesedlo.cz, ,,SOG503,2003-05-30,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8238/2002,
Obec Nové Hrady,270598,Nové Hrady 123,539 45,Nové Hrady,Chrudim,Pardubický,,obecní úřad,,,Obecní knihovna v Nových Hradech,72,základní,public,Nové Hrady 123,539 45,Nové Hrady,Chrudim,Pardubický,, ,, ,, ,2003-05-30,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8185/2002,
Obec Starý Bydžov,653420,Starý Bydžov 13,503 57,Starý Bydžov,Hradec Králové,Královéhradecký,,obecní úřad,,,Obecní knihovna Starý Bydžov,73,základní,public,Starý Bydžov 13,503 57,Starý Bydžov,Hradec Králové,Královéhradecký,, ,, ,, ,2003-05-30,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8337/2002,
Valašské muzeum v přírodě v Rožnově pod Radhoštěm,98604,Palackého 147,756 61,Rožnov pod Radhoštěm,Vsetín,Zlínský,,"uchování, zpracování a zpřístupňování sbírek muzejní povahy",,,Odborná knihovna Valašského muzea v přírodě,74,základní se specializovaným knihovním fondem,muzejní,Palackého 147,756 61,Rožnov pod Radhoštěm,Vsetín,Zlínský,, ,, ,,VSE801,2003-05-30,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8340/2002,
Obec Jaroměřice,276758,Kulturní dům 1,569 44,Jaroměřice,Svitavy,Pardubický,,obecní úřad,,,Obecní knihovna Jaroměřice,75,základní,public,Kulturní dům 1,569 44,Jaroměřice,Svitavy,Pardubický,, ,, ,, ,2003-05-30,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8332/2002,
Obec Žákava,48333310,Žákava 76,332 04,Nezvěstice,Plzeň-jih,Plzeňský,,obecní úřad,,,Obecní knihovna v Žákavě,76,základní,public,Žákava 76,332 04,Nezvěstice,Plzeň-jih,Plzeňský,, ,, ,, ,2003-06-02,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8399/2002,
Obec Doubravy,283886,Doubravy 45,763 45,Březůvky,Zlín,Zlínský,,obecní úřad,,,Místní knihovna v Doubravách,77,základní,public,Doubravy 45,763 45,Březůvky,Zlín,Zlínský,, ,http://mistniknihovnadoubravy.webk.cz/, ,, ,2003-06-02,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8299/2002,
Obec Újezd,284602,Újezd 272,763 25,Újezd,Zlín,Zlínský,,obecní úřad,,,Obecní knihovna v Újezdě,78,základní,public,Újezd 190,763 25,Újezd,Zlín,Zlínský,, ,http://www.knihovnaujezduklobouk.wz.cz/, ,,ZLG515,2003-06-02,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8175/2002,
Město Úterý,258466,Úterý 1,330 41,Úterý,Plzeň-sever,Plzeňský,,obecní úřad,,,Městská knihovna Úterý,79,základní,public,Úterý 5,330 41,Úterý,Plzeň-sever,Plzeňský,, ,,17.00-20.00 ,, ,2003-06-02,2002-07-16 00:00:00,Čermáková,2008-01-04 00:00:00,St. Firstová,A,,,,k 8431/2002,
"Česká pošta, státní podnik",47114983,Olšanská 38/9,225 99,Praha 3,Praha,Hlavní město Praha,,výkon poštovního provozu na území ČR,,,Knihovna Poštovního muzea,80,základní se specializovaným knihovním fondem,muzejní,Nové Mlýny 2,110 00,Praha 1,Praha,Hlavní město Praha,, ,, ,, ,2003-06-02,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8467/2002,
Knihovna města Olomouce,96733,náměstí Republiky 1,771 66,Olomouc,Olomouc,Olomoucký,,poskytování veřejných knihovnických a informačních služeb,,,Knihovna města Olomouce,81,základní,public,náměstí Republiky 1,771 66,Olomouc,Olomouc,Olomoucký,, ,, ,,OLG001,2003-06-02,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 9433/2002,
Moravská zemská knihovna v Brně,94943,Kounicova 65a,601 87,Brno,Brno-město,Jihomoravský,,poskytování veřejných knihovnických a informačních služeb,,,Moravská zemská knihovna v Brně,82,specializovaná,MZK,Kounicova 65a,601 87,Brno,Brno-město,Jihomoravský,, ,http://www.mzk.cz, ,,BOA001,2003-06-02,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 9432/2002,
Nemocnice v Jablonci nad Nisou,829838,Nemocniční 15,466 60,Jablonec nad Nisou,Jablonec nad Nisou,Liberecký,,poskytování zdravotnických služeb,,,Středisko vědeckých informací Nemocnice v Jablonci nad Nisou,83,základní se specializovaným knihovním fondem,lékařská,Nemocniční 15,466 60,Jablonec nad Nisou,Jablonec nad Nisou,Liberecký,,stekrova@nemjbc.cz,, ,,JNE201,2003-06-02,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 9431/2002,
"Regionální knihovna Karviná, příspěvková organizace",306355,Centrum 2299/16,734 11,Karviná-Mizerov,Karviná,Moravskoslezský,,poskytování veřejných knihovnických a informačních služeb,,,"Regionální knihovna Karviná, příspěvková organizace",84,základní,public,Centrum 2299/16,734 11,Karviná-Mizerov,Karviná,Moravskoslezský,, ,http://www.rkka.cz, ,,KAG001,2003-06-02,2002-07-16 00:00:00,Čermáková,"9.1.2007, 12.11.2018",St. Firstová; S. Poláková,A,,,,"k 9430/2002;
MK 50245/2020 OULK",
Obec Pasohlávky,283461,Pasohlávky 1,691 22,Pasohlávky,Břeclav,Jihomoravský,,obecní úřad,,,Místní knihovna v Pasohlávkách,85,základní,public,Pasohlávky 1,691 22,Pasohlávky,Břeclav,Jihomoravský,, ,, ,, ,2003-06-02,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8474/2002,
Obec Krakovany,235504,Krakovany 15,281 27,Krakovany,Kolín,Středočeský,,obecní úřad,,,Obecní knihovna Krakovany,86,základní,public,Krakovany 15,281 27,Krakovany,Kolín,Středočeský,, ,, ,, ,2003-06-02,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8473/2002,
Město Teplá,255050,Masarykovo nám. 1,364 61,Teplá,Karlovy Vary,Karlovarský,,městský úřad,,,Knihovna Teplá,87,základní,public,Masarykovo nám. 1,364 61,Teplá,Karlovy Vary,Karlovarský,, ,, ,,KVG506,2003-06-02,2002-07-16 00:00:00,Čermáková,2015-11-10 00:00:00,M. Fojtík,A,, ,,k 8450/2002,
Město Luže,270440,nám. Plk. Koukala 1,538 54,Luže,Chrudim,Pardubický,,obecní úřad,,,Městská knihovna v Luži,88,základní,public,Komenského 286,538 54,Luže,Chrudim,Pardubický,, ,www.luze.cz, ,,CRG508,2003-06-02,2002-07-16 00:00:00,Čermáková,2007-07-13 00:00:00,St. Firstová,A,,,,k 8445/2002,
Obec Vápenný Podol,271110,Vápenný Podol 74,538 03,Heřmanův Městec,Chrudim,Pardubický,,obecní úřad,,,Obecní knihovna ve Vápenném Podole,89,základní,public,Vápenný Podol 74,538 03,Heřmanův Městec,Chrudim,Pardubický,, ,, ,, ,2003-06-02,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8472/2002,
Obec Trstěnice,277509,Trstěnice 238,569 57,Trstěnice,Svitavy,Pardubický,,obecní úřad,,,Obecní knihovna v Trstěnici,90,základní,public,Trstěnice 238,569 57,Trstěnice,Svitavy,Pardubický,, ,, ,, ,2003-06-02,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8499/2002,
Obec Prachovice,270733,Chrudimská 50,538 04,Prachovice,Svitavy,Pardubický,,obecní úřad,,,Obecní knihovna v Prachovicích,91,základní,public,Chrudimská 122,538 04,Prachovice,Svitavy,Pardubický,, ,, ,,CRF504,2003-06-02,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8575/2002,
Studijní a vědecká knihovna Plzeňského kraje,78077,Smetanovy sady 2,305 48,Plzeň,Plzeň-město,Plzeňský,,poskytování veřejných knihovnických a informačních služeb,,,Studijní a vědecká knihovna Plzeňského kraje,92,specializovaná,krajská,Smetanovy sady 2,305 48,Plzeň,Plzeň-město,Plzeňský,,svk@svkpl.cz,, ,,PNA001,2003-06-02,2002-07-16 00:00:00,Čermáková,2008-03-27 00:00:00,St. Firstová,A,,,,k 8587/2002,
Obec Černava,573205,Černava 80,362 23,Černava,Karlovy Vary,Karlovarský,,obecní úřad,,,Obecní knihovna v Černavě,93,základní,public,Černava 80,362 23,Černava,Karlovy Vary,Karlovarský,, ,, ,, ,2003-06-02,2002-07-16 00:00:00,Čermáková,,,V,2006-06-01 00:00:00,St. Firstová,,k 8624/2002,"Vyřazena z evidence, knihovna zrušena"
Obec Medový Újezd,18243622,Medový Újezd 14,337 01,Rokycany,Rokycany,Plzeňský,,obecní úřad,,,Obecní knihovna v Medovém Újezdě,94,základní,public,Medový Újezd 14,337 01,Rokycany,Rokycany,Plzeňský,, ,, ,, ,2003-06-02,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8627/2002,
Fakultní nemocnice s poliklinikou Ostrava,843989,17. listopadu 1790,708 52,Ostrava-Poruba,Ostrava-město,Moravskoslezský,,poskytování zdravotnických služeb,,,Lékařská knihovna Fakultní nemocnice s poliklinikou Ostrava,95,základní se specializovaným knihovním fondem,lékařská,17. listopadu 1790,708 52,Ostrava-Poruba,Ostrava-město,Moravskoslezský,, ,http://www.fno.cz/lekarska-knihovna, ,,OSE201,2003-06-02,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8662/2002,
Obec Lukov,284173,K Lučkám 350,763 17,Lukov u Zlína,Zlín,Zlínský,,obecní úřad,,,Knihovna obce Lukov,96,základní,public,K Lučkám 350,763 17,Lukov u Zlína,Zlín,Zlínský,, ,www.lukov.cz/obecni-urad/knihovna, ,,ZLG518,2003-06-02,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8678/2002,
Husova knihovna Říčany,66002001,Masarykovo nám. 83,251 01,Říčany,Praha-východ,Středočeský,,poskytování veřejných knihovnických a informačních služeb,,,Husova knihovna Říčany,97,základní,public,Masarykovo nám. 83,251 01,Říčany,Praha-východ,Středočeský,, ,http://knihovna.ricany.cz, ,,ABG502,2003-06-02,2002-07-16 00:00:00,Čermáková,"11.2.2009, 26.1.2017","St. Firstová, Švastová",A,,,,k 8663/2002,
Obec Stražisko,288829,Stražisko 1,798 44,Stražisko,Prostějov,Olomoucký,,obecní úřad,,,Knihovna Stražisko,98,základní,public,Stražisko 1,798 44,Stražisko,Prostějov,Olomoucký,, ,knihovnastrazisko.webk.cz, ,, ,2003-06-02,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8681/2002,
Obec Konojedy,665134,Konojedy 7,281 63,Konojedy,Kolín,Středočeský,,obecní úřad,,,Obecní knihovna Konojedy,99,základní,public,Konojedy 7,281 63,Konojedy,Kolín,Středočeský,, ,, ,, ,2003-06-02,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8692/2002,
"Městská kulturní zařízení Hranice, příspěvková organizace",71294686,Masarykovo nám. 71,753 01,Hranice,Přerov,Olomoucký,,poskytování veřejných knihovnických a informačních služeb,,,Městská knihovna Hranice,100,základní,public,Masarykovo nám. 71,753 01,Hranice,Přerov,Olomoucký,,mek@mek.hranet.cz,, ,,PRG501,2004-09-02,2002-07-16 00:00:00,Čermáková,2015-04-24 00:00:00,M. Fojtík,A,, ,,k 8735/2002,
Obec Krchleby,236179,Krchleby,286 01,Čáslav,Kutná Hora,Středočeský,,obecní úřad,,,Obecní knihovna Krchleby,101,základní,public,Krchleby 166,286 01,Čáslav,Kutná Hora,Středočeský,, ,, ,, ,2003-06-03,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8728/2002,
"Městská knihovna T. G. Masaryka Šumperk, příspěvková organizace",65496604,28. října 1280/1,787 01,Šumperk,Šumperk,Olomoucký,,poskytování veřejných knihovnických a informačních služeb,,,"Městská knihovna T. G. Masaryka Šumperk, příspěvková organizace",102,základní,public,28. října 1280/1,787 01,Šumperk,Šumperk,Olomoucký,,knihovna@knihovnaspk.cz,www.knihovnaspk.cz, ,,SUG001,2003-06-03,2002-07-16 00:00:00,Čermáková,2018-11-12 00:00:00,S. Poláková,A,, ,,"k 8736/2002;
MK 50796/2020 OULK",
Obec Cerekvice nad Bystřicí,271438,Cerekvice nad Bystřicí 53,507 77,Cerekvice nad Bystřicí,Jičín,Královéhradecký,,obecní úřad,,,Místní knihovna v Cerekvici nad Bystřicí,103,základní,public,Cerekvice nad Bystřicí 53,507 77,Cerekvice nad Bystřicí,Jičín,Královéhradecký,, ,, ,, ,2003-06-03,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8737/2002,
Obec Děpoltovice,573221,Děpoltovice 110,362 25,Nová Role,Karlovy Vary,Karlovarský,,obecní úřad,,,Základní knihovna v Děpoltovicích,104,základní,public,Děpoltovice 110,362 25,Nová Role,Karlovy Vary,Karlovarský,, ,, ,, ,2003-06-03,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8740/2002,
Město Dobrovice,237663,Palackého nám. 28,294 41,Dobrovice,Mladá Boleslav,Středočeský,,městský úřad,,,Městská knihovna Dobrovice,105,základní,public,ul. 9. května 109,294 41,Dobrovice,Mladá Boleslav,Středočeský,, ,, ,,MBG502,2003-06-03,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8806/2002,
Městská knihovna Vratimov,47999781,Frýdecká 100/48,739 32,Vratimov,Frýdek-Místek,Moravskoslezský,,poskytování veřejných knihovnických a informačních služeb,,,Městská knihovna Vratimov,106,základní,public,Frýdecká 100/48,739 32,Vratimov,Frýdek-Místek,Moravskoslezský,,knihovnavrat@volny.cz,, ,,FMG501,2003-06-03,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8804/2002,
Městská knihovna Vratimov,47999781,Frýdecká 100/48,739 32,Vratimov,Frýdek-Místek,Moravskoslezský,,poskytování veřejných knihovnických a informačních služeb,,,Místní knihovna Paskov,107,základní,public,Nádražní 700,739 21,Paskov,Frýdek-Místek,Moravskoslezský,,knihovnavrat@volny.cz,, ,,FMG512,2003-06-03,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8804/2002,
Městská knihovna Vratimov,47999781,Frýdecká 100/48,739 32,Vratimov,Frýdek-Místek,Moravskoslezský,,poskytování veřejných knihovnických a informačních služeb,,,Místní knihovna Řepiště,108,základní,public,Mírová 178,739 31,Řepiště,Frýdek-Místek,Moravskoslezský,,knihovnavrat@volny.cz,, ,,FMG515,2003-06-03,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8804/2002,
Městská knihovna Vratimov,47999781,Frýdecká 100/48,739 32,Vratimov,Frýdek-Místek,Moravskoslezský,,poskytování veřejných knihovnických a informačních služeb,,,Místní knihovna Horní Datyně,109,základní,public,U Školy 289,739 33,Horní Datyně,Frýdek-Místek,Moravskoslezský,,knihovnavrat@volny.cz,, ,, ,2003-06-03,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8804/2002,
Městská knihovna Vratimov,47999781,Frýdecká 100/48,739 32,Vratimov,Frýdek-Místek,Moravskoslezský,,poskytování veřejných knihovnických a informačních služeb,,,Místní knihovna Žabeň,110,základní,public,Žabeň 62,739 25,Sviadnov,Frýdek-Místek,Moravskoslezský,,knihovnavrat@volny.cz,, ,, ,2003-06-03,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8804/2002,
Městská knihovna Vratimov,47999781,Frýdecká 100/48,739 32,Vratimov,Frýdek-Místek,Moravskoslezský,,poskytování veřejných knihovnických a informačních služeb,,,Místní knihovna Oprechtice,111,základní,public,Oprechtice 26,739 21,Paskov,Frýdek-Místek,Moravskoslezský,,knihovnavrat@volny.cz,, ,, ,2003-06-03,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8804/2002,
Informační centrum Velké Karlovice,45211698,Velké Karlovice,756 06,Velké Karlovice,Vsetín,Zlínský,,obecní úřad,,,Místní knihovna Velké Karlovice,112,základní,public,Velké Karlovice,756 06,Velké Karlovice,Vsetín,Zlínský,, ,www.velkekarlovice.knihovna.info, ,,VSG505,2003-06-03,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8803/2002,
Obec Konárovice,235458,Na rynku 11,281 25,Konárovice,Kolín,Středočeský,,obecní úřad,,,Obecní knihovna v Konárovicích,113,základní,public,Na rynku 11,281 25,Konárovice,Kolín,Středočeský,, ,, ,, ,2003-06-03,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8821/2002,
Městská knihovna Slavoj ve Dvůře Králové nad Labem,71176861,Tylova 512,544 01,Dvůr Králové nad Labem,Trutnov,Královéhradecký,,Městská knihovna,,,Městská knihovna Slavoj ve Dvoře Králové nad Labem,114,základní,public,Tylova 512,544 01,Dvůr Králové nad Labem,Trutnov,Královéhradecký,, ,, ,,TUG504,2003-06-03,2002-07-16 00:00:00,Čermáková,2007-07-13 00:00:00,St. Firstová,A,,,,k 8881/2002,
Město Úpice,278386,Pod Městem 624,542 32,Úpice,Trutnov,Královéhradecký,,městský úřad,,,Městská knihovna v Úpici,115,základní,public,Bratří Čapků 1075,542 32,Úpice,Trutnov,Královéhradecký,, ,, ,,TUG506,2003-06-03,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8864/2002,
Město Loštice,302945,Náměstí Míru 66,789 83,Loštice,Šumperk,Olomoucký,,městský úřad,,,Městské kulturní středisko a knihovna Loštice,116,základní,public,Hradská ul. 380,789 83,Loštice,Šumperk,Olomoucký,, ,, ,,SUG504,2003-06-03,2002-07-16 00:00:00,Čermáková,2016-04-19 00:00:00,M. Fojtík,A,, ,,k 8882/2002,
Obec Bříšťany,578258,Bříšťany 120,508 01,Hořice v Podkrkonoší,Jičín,Královéhradecký,,obecní úřad,,,Lidová knihovna Bříšťany,117,základní,public,Bříšťany 109,508 01,Hořice v Podkrkonoší,Jičín,Královéhradecký,, ,, ,, ,2003-06-03,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8903/2002,
Obec Tuněchody,271080,Tuněchody 2,537 01,Chrudim,Chrudim,Pardubický,,obecní úřad,,,Obecní knihovna v Tuněchodech,118,základní,public,Tuněchody 13,537 01,Chrudim,Chrudim,Pardubický,, ,, ,, ,2003-06-03,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8997/2002,
Obec Linhartice,276936,Linhartice 134,571 01,Svitavy,Svitavy,Pardubický,,obecní úřad,,,Obecní knihovna v Linharticích,119,základní,public,Linhartice 16,571 01,Svitavy,Svitavy,Pardubický,, ,, ,, ,2003-06-03,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8981/2002,
"Městské kulturní středisko Kojetín, příspěvková organizace",368903,nám. Republiky 1033,752 01,Kojetín,Přerov,Olomoucký,,zajišťování kulturních hodnot a aktivit,,,Městská knihovna v Kojetíně,120,základní,public,nám. Republiky 1033,752 01,Kojetín,Přerov,Olomoucký,, ,, ,,PRG507,2003-06-03,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8992/2002,
Město Bochov,254444,nám. Míru 1,364 71,Bochov,Karlovy Vary,Karlovarský,,obecní úřad,,,Městská knihovna a infocentrum Bochov,121,základní,public,Obuvnická 59,364 71,Bochov,Karlovy Vary,Karlovarský,, ,knihovna@mesto-bochov, ,,KVG502,2003-06-03,2002-07-16 00:00:00,Čermáková,2008-02-09 00:00:00,St. Firstová,A,,,,k 8932/2002,
Obec Hájek,573230,Hájek 68,363 01,Ostrov nad Ohří,Karlovy Vary,Karlovarský,,obecní úřad,,,Základní knihovna v Hájku,122,základní,public,Hájek 20,363 01,Ostrov nad Ohří,Karlovy Vary,Karlovarský,, ,, ,, ,2003-06-03,2002-07-16 00:00:00,Čermáková,,,A,, ,,k 8921/2002,
Město Hodonín,284891,Masarykovo nám. 1,695 35,Hodonín,Hodonín,Jihomoravský,,poskytování veřejných knihovnických a informačních služeb,,,Městská knihovna Hodonín,123,základní,public,Národní třída 36,695 14,Hodonín,Hodonín,Jihomoravský,, ,www.knihovnahod.cz, ,, ,2003-06-03,2002-07-16 00:00:00,Čermáková,2011-03-11 00:00:00,M. Fojtík,A,,,,k 8870/2002,
Město Bzenec,284807,nám. Svobody 73,696 81,Bzenec,Hodonín,Jihomoravský,,městský úřad,,,Městská knihovna v Bzenci,124,základní,public,nám. Svobody 73,696 81,Bzenec,Hodonín,Jihomoravský,, ,www.knihovna.bzenec.cz, ,,HOG505,2003-06-03,2002-07-16 00:00:00,Čermáková,2003-03-04 00:00:00,Čermáková,A,,,,k 3308/2003,
