Nazev provozovatele|B/H - IC provozovatele (u fyzicke osoby pokud bylo prideleno)|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - ulice|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - PSC|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - obec|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - okres|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - kraj|C/CH - datova schranka, ma-li ji subjekt zrizenou|D - predmet cinnosti|E - pravni forma|G - datum narozeni provozovatele - fyzicke osoby|I - NAZEV KNIHOVNY|R - EVIDENCNI CISLO KNIHOVNY|J - druh knihovny|Kategorie - pomocny sloupec|K - adresa knihovny: ulice|K - adresa knihovny: PSC|K - adresa knihovny: mesto|K - adresa knihovny: okres|K - adresa knihovny: kraj|M - emailovy kontakt na autora zaznamu|N - e-mailovy kontakt na knihovnu|O - odkaz na webovou stranku knihovny, respektive odkaz na informace o knihovne na webovych strankach provozovatele|P - provozni doba knihovny|Q - dalsi informace|X - sigla|S - datum vytvoreni zaznamu|T - datum evidence knihovny|XXT - schvalovatel zaznamu|U - datum aktualizace zaznamu|XXU - schvalovatel aktualizace zaznamu|aktivni / zrusena (vyrazena z evidence)|V - datum vyrazeni|XXV - vyradil z evidence|W - duvod vyrazeni z evidence|Y - cislo jednaci|Poznamka
Obec Miretice|270504|Miretice 66|539 55|Miretice|Chrudim|Pardubicky||obecni urad|||Mistni knihovna Miretice|56|zakladni|public|Miretice 66|539 55|Miretice|Chrudim|Pardubicky|| || || |2003-05-30|2002-07-16 00:00:00|Cermakova|||A|| ||k 7413/2002|
Obec Karle|579564|Karle 4|568 02|Svitavy 2|Svitavy|Pardubicky||obecni urad|||Obecni knihovna v Karli|57|zakladni|public|Karle 4|568 02|Svitavy 2|Svitavy|Pardubicky|| || || |2003-05-30|2002-07-16 00:00:00|Cermakova|||A|| ||k 7414/2002|
Mesto Sec|270881|Chrudimska 1|538 07|Sec|Chrudim|Pardubicky||obecni urad|||Mestska knihovna v Seci|58|zakladni|public|Chrudimska 94|538 07|Sec|Chrudim|Pardubicky|| || || |2003-05-30|2002-07-16 00:00:00|Cermakova|2017-06-01 00:00:00|Svastova|A|| ||k 7533/2002|
Obec Velke Chvojno|66109973|Velke Chvojno 24|403 34|Velke Chvojno|Usti nad Labem|Ustecky||obecni urad|||Obecni knihovna Velke Chvojno|59|zakladni|public|Velke Chvojno 55|403 34|Velke Chvojno|Usti nad Labem|Ustecky|| ||17.00-18.30 || |2003-05-30|2002-07-16 00:00:00|Cermakova|||A|| ||k 7631/2002|
Obec Koci|270288|Koci|538 61|Koci|Chrudim|Pardubicky||obecni urad|||Mistni knihovna v Koci|60|zakladni|public|Koci 92|538 61|Koci|Chrudim|Pardubicky|| || || |2003-05-30|2002-07-16 00:00:00|Cermakova|||A|| ||k 7605/2002|
Obec Cankovice|485969|Cankovice 87|538 62|Cankovice|Chrudim|Pardubicky||obecni urad|||Obecni knihovna v Cankovicich|61|zakladni|public|Cankovice 1|538 62|Cankovice|Chrudim|Pardubicky|| || || |2003-05-30|2002-07-16 00:00:00|Cermakova|||A|| ||k 7691/2002|
Obec Bozice|292567|Bozice 380|671 64|Bozice|Znojmo|Jihomoravsky||obecni urad|||Obecni knihovna v Bozicich|62|zakladni|public|Bozice 380|671 64|Bozice|Znojmo|Jihomoravsky|| ||7.00-12.00, 13.00-17.00  -  7.00-12.00, 13.00-15.00 - 7.00-12.00, 13.00-17.00 - 7.00-12.00, 13.00-15.00 - 7.00-13.30 ||ZNG507|2003-05-30|2002-07-16 00:00:00|Cermakova|||A|| ||k 7712/2002|
Obec Krasne|270326|Krasne 15|538 25|Nasavrky|Chrudim|Pardubicky||obecni urad|||Mistni knihovna v Krasnem|63|zakladni|public|Krasne 15|538 25|Nasavrky|Chrudim|Pardubicky|| || || |2003-05-30|2002-07-16 00:00:00|Cermakova|||A|| ||k 7769/2002|
Mesto Ronov nad Doubravou|270822|Chitussiho nam. 150|538 42|Ronov nad Doubravou|Chrudim|Pardubicky||mestsky urad|||Mestska knihovna Ronov nad Doubravou|64|zakladni|public|Chitussiho nam. 151|538 42|Ronov nad Doubravou|Chrudim|Pardubicky|| || ||CRG509|2003-05-30|2002-07-16 00:00:00|Cermakova|||A|| ||k 7771/2002|
Obec Rozhovice|496979|Rozhovice 46|538 03|Hermanuv Mestec|Chrudim|Pardubicky||obecni urad|||Obecni knihovna Rozhovice|65|zakladni|public|Rozhovice 46|538 03|Hermanuv Mestec|Chrudim|Pardubicky|| || || |2003-05-30|2002-07-16 00:00:00|Cermakova|||A|| ||k 7938/2002|
Obec Zabori nad Labem|236624|Zahori nad Labem 164|285 74|Zahori nad Labem|Kutna Hora|Stredocesky||obecni urad|||Obecni knihovna Zabori nad Labem|66|zakladni|public|Zahori nad Labem 164|285 74|Zahori nad Labem|Kutna Hora|Stredocesky|| || || |2003-05-30|2002-07-16 00:00:00|Cermakova|||A|| ||k 7973/2002|
Ustav pro peci o matku a dite|23698|Podolske nabr. 157|147 10|Praha|Praha|Hlavni mesto Praha||poskytovani zdravotnickych sluzeb v oblasti pece o zenu a ranneho vyvoje ditete|||Stredisko vedeckych lekarskych informaci - lekarska knihovna Ustavu pro peci o matku a dite|67|zakladni se specializovanym knihovnim fondem|lekarska|Podolske nabr. 157|147 10|Praha|Praha|Hlavni mesto Praha|| || ||ABC017|2003-05-30|2002-07-16 00:00:00|Cermakova|||A|| ||k 7985/2002|
Obec Rosice|270831|Rosice 96|538 34|Rosice|Chrudim|Pardubicky||obecni urad|||Obecni knihovna Rosice|68|zakladni|public|Rosice 18|538 34|Rosice|Chrudim|Pardubicky|| ||15.00-18.00 ||BOG513|2003-05-30|2002-07-16 00:00:00|Cermakova|2022-03-17 00:00:00|St. Firstova|A|| ||k 7980/2002|
Jihoceska vedecka knihovna v Ceskych Budejovicich|73504|U Zimniho stadionu 1952/2|370 79|Ceske Budejovice|Ceske Budejovice|Jihocesky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Jihoceska vedecka knihovna v Ceskych Budejovicich|69|specializovana|krajska|Na Sadech 27|370 59|Ceske Budejovice|Ceske Budejovice|Jihocesky|| |www.cbvk.cz| ||CBA001|2003-05-30|2002-07-16 00:00:00|Cermakova|2012-03-19 00:00:00|M. Fojtik|A||||k 8010/2002|
Mestys Visnove|293784|Visnove|671 38|Visnove|Znojmo|Jihomoravsky||obecni urad|||Obecni knihovna ve Visnovem|70|zakladni|public|Visnove 127|671 38|Visnove|Znojmo|Jihomoravsky|| |www.knihovnasyrovatka.webz.cz|11.30-19.00 - 11.30-19.00 ||ZNG506|2003-05-30|2002-07-16 00:00:00|Cermakova|2007-05-26 00:00:00|St. Firstova|A||||k 8043/2002|
Mesto Nove Sedlo|259527|Masarykova 502|357 34|Nove Sedlo|Sokolov|Karlovarsky||obecni urad|||Mestska knihovna Nove Sedlo|71|zakladni|public|Masarykova 502|357 34|Nove Sedlo|Sokolov|Karlovarsky|| |http://www.knihovnanovesedlo.cz| ||SOG503|2003-05-30|2002-07-16 00:00:00|Cermakova|||A|| ||k 8238/2002|
Obec Nove Hrady|270598|Nove Hrady 123|539 45|Nove Hrady|Chrudim|Pardubicky||obecni urad|||Obecni knihovna v Novych Hradech|72|zakladni|public|Nove Hrady 123|539 45|Nove Hrady|Chrudim|Pardubicky|| || || |2003-05-30|2002-07-16 00:00:00|Cermakova|||A|| ||k 8185/2002|
Obec Stary Bydzov|653420|Stary Bydzov 13|503 57|Stary Bydzov|Hradec Kralove|Kralovehradecky||obecni urad|||Obecni knihovna Stary Bydzov|73|zakladni|public|Stary Bydzov 13|503 57|Stary Bydzov|Hradec Kralove|Kralovehradecky|| || || |2003-05-30|2002-07-16 00:00:00|Cermakova|||A|| ||k 8337/2002|
Valasske muzeum v prirode v Roznove pod Radhostem|98604|Palackeho 147|756 61|Roznov pod Radhostem|Vsetin|Zlinsky||uchovani, zpracovani a zpristupnovani sbirek muzejni povahy|||Odborna knihovna Valasskeho muzea v prirode|74|zakladni se specializovanym knihovnim fondem|muzejni|Palackeho 147|756 61|Roznov pod Radhostem|Vsetin|Zlinsky|| || ||VSE801|2003-05-30|2002-07-16 00:00:00|Cermakova|||A|| ||k 8340/2002|
Obec Jaromerice|276758|Kulturni dum 1|569 44|Jaromerice|Svitavy|Pardubicky||obecni urad|||Obecni knihovna Jaromerice|75|zakladni|public|Kulturni dum 1|569 44|Jaromerice|Svitavy|Pardubicky|| || || |2003-05-30|2002-07-16 00:00:00|Cermakova|||A|| ||k 8332/2002|
Obec Zakava|48333310|Zakava 76|332 04|Nezvestice|Plzen-jih|Plzensky||obecni urad|||Obecni knihovna v Zakave|76|zakladni|public|Zakava 76|332 04|Nezvestice|Plzen-jih|Plzensky|| || || |2003-06-02|2002-07-16 00:00:00|Cermakova|||A|| ||k 8399/2002|
Obec Doubravy|283886|Doubravy 45|763 45|Brezuvky|Zlin|Zlinsky||obecni urad|||Mistni knihovna v Doubravach|77|zakladni|public|Doubravy 45|763 45|Brezuvky|Zlin|Zlinsky|| |http://mistniknihovnadoubravy.webk.cz/| || |2003-06-02|2002-07-16 00:00:00|Cermakova|||A|| ||k 8299/2002|
Obec Ujezd|284602|Ujezd 272|763 25|Ujezd|Zlin|Zlinsky||obecni urad|||Obecni knihovna v Ujezde|78|zakladni|public|Ujezd 190|763 25|Ujezd|Zlin|Zlinsky|| |http://www.knihovnaujezduklobouk.wz.cz/| ||ZLG515|2003-06-02|2002-07-16 00:00:00|Cermakova|||A|| ||k 8175/2002|
Mesto Utery|258466|Utery 1|330 41|Utery|Plzen-sever|Plzensky||obecni urad|||Mestska knihovna Utery|79|zakladni|public|Utery 5|330 41|Utery|Plzen-sever|Plzensky|| ||17.00-20.00 || |2003-06-02|2002-07-16 00:00:00|Cermakova|2008-01-04 00:00:00|St. Firstova|A||||k 8431/2002|
Ceska posta, statni podnik|47114983|Olsanska 38/9|225 99|Praha 3|Praha|Hlavni mesto Praha||vykon postovniho provozu na uzemi CR|||Knihovna Postovniho muzea|80|zakladni se specializovanym knihovnim fondem|muzejni|Nove Mlyny 2|110 00|Praha 1|Praha|Hlavni mesto Praha|| || || |2003-06-02|2002-07-16 00:00:00|Cermakova|||A|| ||k 8467/2002|
Knihovna mesta Olomouce|96733|namesti Republiky 1|771 66|Olomouc|Olomouc|Olomoucky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Knihovna mesta Olomouce|81|zakladni|public|namesti Republiky 1|771 66|Olomouc|Olomouc|Olomoucky|| || ||OLG001|2003-06-02|2002-07-16 00:00:00|Cermakova|||A|| ||k 9433/2002|
Moravska zemska knihovna v Brne|94943|Kounicova 65a|601 87|Brno|Brno-mesto|Jihomoravsky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Moravska zemska knihovna v Brne|82|specializovana|MZK|Kounicova 65a|601 87|Brno|Brno-mesto|Jihomoravsky|| |http://www.mzk.cz| ||BOA001|2003-06-02|2002-07-16 00:00:00|Cermakova|||A|| ||k 9432/2002|
Nemocnice v Jablonci nad Nisou|829838|Nemocnicni 15|466 60|Jablonec nad Nisou|Jablonec nad Nisou|Liberecky||poskytovani zdravotnickych sluzeb|||Stredisko vedeckych informaci Nemocnice v Jablonci nad Nisou|83|zakladni se specializovanym knihovnim fondem|lekarska|Nemocnicni 15|466 60|Jablonec nad Nisou|Jablonec nad Nisou|Liberecky||stekrova@nemjbc.cz|| ||JNE201|2003-06-02|2002-07-16 00:00:00|Cermakova|||A|| ||k 9431/2002|
Regionalni knihovna Karvina, prispevkova organizace|306355|Centrum 2299/16|734 11|Karvina-Mizerov|Karvina|Moravskoslezsky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Regionalni knihovna Karvina, prispevkova organizace|84|zakladni|public|Centrum 2299/16|734 11|Karvina-Mizerov|Karvina|Moravskoslezsky|| |http://www.rkka.cz| ||KAG001|2003-06-02|2002-07-16 00:00:00|Cermakova|9.1.2007, 12.11.2018|St. Firstova; S. Polakova|A||||"k 9430/2002;
MK 50245/2020 OULK"|
Obec Pasohlavky|283461|Pasohlavky 1|691 22|Pasohlavky|Breclav|Jihomoravsky||obecni urad|||Mistni knihovna v Pasohlavkach|85|zakladni|public|Pasohlavky 1|691 22|Pasohlavky|Breclav|Jihomoravsky|| || || |2003-06-02|2002-07-16 00:00:00|Cermakova|||A|| ||k 8474/2002|
Obec Krakovany|235504|Krakovany 15|281 27|Krakovany|Kolin|Stredocesky||obecni urad|||Obecni knihovna Krakovany|86|zakladni|public|Krakovany 15|281 27|Krakovany|Kolin|Stredocesky|| || || |2003-06-02|2002-07-16 00:00:00|Cermakova|||A|| ||k 8473/2002|
Mesto Tepla|255050|Masarykovo nam. 1|364 61|Tepla|Karlovy Vary|Karlovarsky||mestsky urad|||Knihovna Tepla|87|zakladni|public|Masarykovo nam. 1|364 61|Tepla|Karlovy Vary|Karlovarsky|| || ||KVG506|2003-06-02|2002-07-16 00:00:00|Cermakova|2015-11-10 00:00:00|M. Fojtik|A|| ||k 8450/2002|
Mesto Luze|270440|nam. Plk. Koukala 1|538 54|Luze|Chrudim|Pardubicky||obecni urad|||Mestska knihovna v Luzi|88|zakladni|public|Komenskeho 286|538 54|Luze|Chrudim|Pardubicky|| |www.luze.cz| ||CRG508|2003-06-02|2002-07-16 00:00:00|Cermakova|2007-07-13 00:00:00|St. Firstova|A||||k 8445/2002|
Obec Vapenny Podol|271110|Vapenny Podol 74|538 03|Hermanuv Mestec|Chrudim|Pardubicky||obecni urad|||Obecni knihovna ve Vapennem Podole|89|zakladni|public|Vapenny Podol 74|538 03|Hermanuv Mestec|Chrudim|Pardubicky|| || || |2003-06-02|2002-07-16 00:00:00|Cermakova|||A|| ||k 8472/2002|
Obec Trstenice|277509|Trstenice 238|569 57|Trstenice|Svitavy|Pardubicky||obecni urad|||Obecni knihovna v Trstenici|90|zakladni|public|Trstenice 238|569 57|Trstenice|Svitavy|Pardubicky|| || || |2003-06-02|2002-07-16 00:00:00|Cermakova|||A|| ||k 8499/2002|
Obec Prachovice|270733|Chrudimska 50|538 04|Prachovice|Svitavy|Pardubicky||obecni urad|||Obecni knihovna v Prachovicich|91|zakladni|public|Chrudimska 122|538 04|Prachovice|Svitavy|Pardubicky|| || ||CRF504|2003-06-02|2002-07-16 00:00:00|Cermakova|||A|| ||k 8575/2002|
Studijni a vedecka knihovna Plzenskeho kraje|78077|Smetanovy sady 2|305 48|Plzen|Plzen-mesto|Plzensky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Studijni a vedecka knihovna Plzenskeho kraje|92|specializovana|krajska|Smetanovy sady 2|305 48|Plzen|Plzen-mesto|Plzensky||svk@svkpl.cz|| ||PNA001|2003-06-02|2002-07-16 00:00:00|Cermakova|2008-03-27 00:00:00|St. Firstova|A||||k 8587/2002|
Obec Cernava|573205|Cernava 80|362 23|Cernava|Karlovy Vary|Karlovarsky||obecni urad|||Obecni knihovna v Cernave|93|zakladni|public|Cernava 80|362 23|Cernava|Karlovy Vary|Karlovarsky|| || || |2003-06-02|2002-07-16 00:00:00|Cermakova|||V|2006-06-01 00:00:00|St. Firstova||k 8624/2002|Vyrazena z evidence, knihovna zrusena
Obec Medovy Ujezd|18243622|Medovy Ujezd 14|337 01|Rokycany|Rokycany|Plzensky||obecni urad|||Obecni knihovna v Medovem Ujezde|94|zakladni|public|Medovy Ujezd 14|337 01|Rokycany|Rokycany|Plzensky|| || || |2003-06-02|2002-07-16 00:00:00|Cermakova|||A|| ||k 8627/2002|
Fakultni nemocnice s poliklinikou Ostrava|843989|17. listopadu 1790|708 52|Ostrava-Poruba|Ostrava-mesto|Moravskoslezsky||poskytovani zdravotnickych sluzeb|||Lekarska knihovna Fakultni nemocnice s poliklinikou Ostrava|95|zakladni se specializovanym knihovnim fondem|lekarska|17. listopadu 1790|708 52|Ostrava-Poruba|Ostrava-mesto|Moravskoslezsky|| |http://www.fno.cz/lekarska-knihovna| ||OSE201|2003-06-02|2002-07-16 00:00:00|Cermakova|||A|| ||k 8662/2002|
Obec Lukov|284173|K Luckam 350|763 17|Lukov u Zlina|Zlin|Zlinsky||obecni urad|||Knihovna obce Lukov|96|zakladni|public|K Luckam 350|763 17|Lukov u Zlina|Zlin|Zlinsky|| |www.lukov.cz/obecni-urad/knihovna| ||ZLG518|2003-06-02|2002-07-16 00:00:00|Cermakova|||A|| ||k 8678/2002|
Husova knihovna Ricany|66002001|Masarykovo nam. 83|251 01|Ricany|Praha-vychod|Stredocesky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Husova knihovna Ricany|97|zakladni|public|Masarykovo nam. 83|251 01|Ricany|Praha-vychod|Stredocesky|| |http://knihovna.ricany.cz| ||ABG502|2003-06-02|2002-07-16 00:00:00|Cermakova|11.2.2009, 26.1.2017|St. Firstova, Svastova|A||||k 8663/2002|
Obec Strazisko|288829|Strazisko 1|798 44|Strazisko|Prostejov|Olomoucky||obecni urad|||Knihovna Strazisko|98|zakladni|public|Strazisko 1|798 44|Strazisko|Prostejov|Olomoucky|| |knihovnastrazisko.webk.cz| || |2003-06-02|2002-07-16 00:00:00|Cermakova|||A|| ||k 8681/2002|
Obec Konojedy|665134|Konojedy 7|281 63|Konojedy|Kolin|Stredocesky||obecni urad|||Obecni knihovna Konojedy|99|zakladni|public|Konojedy 7|281 63|Konojedy|Kolin|Stredocesky|| || || |2003-06-02|2002-07-16 00:00:00|Cermakova|||A|| ||k 8692/2002|
Mestska kulturni zarizeni Hranice, prispevkova organizace|71294686|Masarykovo nam. 71|753 01|Hranice|Prerov|Olomoucky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Mestska knihovna Hranice|100|zakladni|public|Masarykovo nam. 71|753 01|Hranice|Prerov|Olomoucky||mek@mek.hranet.cz|| ||PRG501|2004-09-02|2002-07-16 00:00:00|Cermakova|2015-04-24 00:00:00|M. Fojtik|A|| ||k 8735/2002|
Obec Krchleby|236179|Krchleby|286 01|Caslav|Kutna Hora|Stredocesky||obecni urad|||Obecni knihovna Krchleby|101|zakladni|public|Krchleby 166|286 01|Caslav|Kutna Hora|Stredocesky|| || || |2003-06-03|2002-07-16 00:00:00|Cermakova|||A|| ||k 8728/2002|
Mestska knihovna T. G. Masaryka Sumperk, prispevkova organizace|65496604|28. rijna 1280/1|787 01|Sumperk|Sumperk|Olomoucky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Mestska knihovna T. G. Masaryka Sumperk, prispevkova organizace|102|zakladni|public|28. rijna 1280/1|787 01|Sumperk|Sumperk|Olomoucky||knihovna@knihovnaspk.cz|www.knihovnaspk.cz| ||SUG001|2003-06-03|2002-07-16 00:00:00|Cermakova|2018-11-12 00:00:00|S. Polakova|A|| ||"k 8736/2002;
MK 50796/2020 OULK"|
Obec Cerekvice nad Bystrici|271438|Cerekvice nad Bystrici 53|507 77|Cerekvice nad Bystrici|Jicin|Kralovehradecky||obecni urad|||Mistni knihovna v Cerekvici nad Bystrici|103|zakladni|public|Cerekvice nad Bystrici 53|507 77|Cerekvice nad Bystrici|Jicin|Kralovehradecky|| || || |2003-06-03|2002-07-16 00:00:00|Cermakova|||A|| ||k 8737/2002|
Obec Depoltovice|573221|Depoltovice 110|362 25|Nova Role|Karlovy Vary|Karlovarsky||obecni urad|||Zakladni knihovna v Depoltovicich|104|zakladni|public|Depoltovice 110|362 25|Nova Role|Karlovy Vary|Karlovarsky|| || || |2003-06-03|2002-07-16 00:00:00|Cermakova|||A|| ||k 8740/2002|
Mesto Dobrovice|237663|Palackeho nam. 28|294 41|Dobrovice|Mlada Boleslav|Stredocesky||mestsky urad|||Mestska knihovna Dobrovice|105|zakladni|public|ul. 9. kvetna 109|294 41|Dobrovice|Mlada Boleslav|Stredocesky|| || ||MBG502|2003-06-03|2002-07-16 00:00:00|Cermakova|||A|| ||k 8806/2002|
Mestska knihovna Vratimov|47999781|Frydecka 100/48|739 32|Vratimov|Frydek-Mistek|Moravskoslezsky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Mestska knihovna Vratimov|106|zakladni|public|Frydecka 100/48|739 32|Vratimov|Frydek-Mistek|Moravskoslezsky||knihovnavrat@volny.cz|| ||FMG501|2003-06-03|2002-07-16 00:00:00|Cermakova|||A|| ||k 8804/2002|
Mestska knihovna Vratimov|47999781|Frydecka 100/48|739 32|Vratimov|Frydek-Mistek|Moravskoslezsky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Mistni knihovna Paskov|107|zakladni|public|Nadrazni 700|739 21|Paskov|Frydek-Mistek|Moravskoslezsky||knihovnavrat@volny.cz|| ||FMG512|2003-06-03|2002-07-16 00:00:00|Cermakova|||A|| ||k 8804/2002|
Mestska knihovna Vratimov|47999781|Frydecka 100/48|739 32|Vratimov|Frydek-Mistek|Moravskoslezsky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Mistni knihovna Repiste|108|zakladni|public|Mirova 178|739 31|Repiste|Frydek-Mistek|Moravskoslezsky||knihovnavrat@volny.cz|| ||FMG515|2003-06-03|2002-07-16 00:00:00|Cermakova|||A|| ||k 8804/2002|
Mestska knihovna Vratimov|47999781|Frydecka 100/48|739 32|Vratimov|Frydek-Mistek|Moravskoslezsky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Mistni knihovna Horni Datyne|109|zakladni|public|U Skoly 289|739 33|Horni Datyne|Frydek-Mistek|Moravskoslezsky||knihovnavrat@volny.cz|| || |2003-06-03|2002-07-16 00:00:00|Cermakova|||A|| ||k 8804/2002|
Mestska knihovna Vratimov|47999781|Frydecka 100/48|739 32|Vratimov|Frydek-Mistek|Moravskoslezsky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Mistni knihovna Zaben|110|zakladni|public|Zaben 62|739 25|Sviadnov|Frydek-Mistek|Moravskoslezsky||knihovnavrat@volny.cz|| || |2003-06-03|2002-07-16 00:00:00|Cermakova|||A|| ||k 8804/2002|
Mestska knihovna Vratimov|47999781|Frydecka 100/48|739 32|Vratimov|Frydek-Mistek|Moravskoslezsky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Mistni knihovna Oprechtice|111|zakladni|public|Oprechtice 26|739 21|Paskov|Frydek-Mistek|Moravskoslezsky||knihovnavrat@volny.cz|| || |2003-06-03|2002-07-16 00:00:00|Cermakova|||A|| ||k 8804/2002|
Informacni centrum Velke Karlovice|45211698|Velke Karlovice|756 06|Velke Karlovice|Vsetin|Zlinsky||obecni urad|||Mistni knihovna Velke Karlovice|112|zakladni|public|Velke Karlovice|756 06|Velke Karlovice|Vsetin|Zlinsky|| |www.velkekarlovice.knihovna.info| ||VSG505|2003-06-03|2002-07-16 00:00:00|Cermakova|||A|| ||k 8803/2002|
Obec Konarovice|235458|Na rynku 11|281 25|Konarovice|Kolin|Stredocesky||obecni urad|||Obecni knihovna v Konarovicich|113|zakladni|public|Na rynku 11|281 25|Konarovice|Kolin|Stredocesky|| || || |2003-06-03|2002-07-16 00:00:00|Cermakova|||A|| ||k 8821/2002|
Mestska knihovna Slavoj ve Dvure Kralove nad Labem|71176861|Tylova 512|544 01|Dvur Kralove nad Labem|Trutnov|Kralovehradecky||Mestska knihovna|||Mestska knihovna Slavoj ve Dvore Kralove nad Labem|114|zakladni|public|Tylova 512|544 01|Dvur Kralove nad Labem|Trutnov|Kralovehradecky|| || ||TUG504|2003-06-03|2002-07-16 00:00:00|Cermakova|2007-07-13 00:00:00|St. Firstova|A||||k 8881/2002|
Mesto Upice|278386|Pod Mestem 624|542 32|Upice|Trutnov|Kralovehradecky||mestsky urad|||Mestska knihovna v Upici|115|zakladni|public|Bratri Capku 1075|542 32|Upice|Trutnov|Kralovehradecky|| || ||TUG506|2003-06-03|2002-07-16 00:00:00|Cermakova|||A|| ||k 8864/2002|
Mesto Lostice|302945|Namesti Miru 66|789 83|Lostice|Sumperk|Olomoucky||mestsky urad|||Mestske kulturni stredisko a knihovna Lostice|116|zakladni|public|Hradska ul. 380|789 83|Lostice|Sumperk|Olomoucky|| || ||SUG504|2003-06-03|2002-07-16 00:00:00|Cermakova|2016-04-19 00:00:00|M. Fojtik|A|| ||k 8882/2002|
Obec Bristany|578258|Bristany 120|508 01|Horice v Podkrkonosi|Jicin|Kralovehradecky||obecni urad|||Lidova knihovna Bristany|117|zakladni|public|Bristany 109|508 01|Horice v Podkrkonosi|Jicin|Kralovehradecky|| || || |2003-06-03|2002-07-16 00:00:00|Cermakova|||A|| ||k 8903/2002|
Obec Tunechody|271080|Tunechody 2|537 01|Chrudim|Chrudim|Pardubicky||obecni urad|||Obecni knihovna v Tunechodech|118|zakladni|public|Tunechody 13|537 01|Chrudim|Chrudim|Pardubicky|| || || |2003-06-03|2002-07-16 00:00:00|Cermakova|||A|| ||k 8997/2002|
Obec Linhartice|276936|Linhartice 134|571 01|Svitavy|Svitavy|Pardubicky||obecni urad|||Obecni knihovna v Linharticich|119|zakladni|public|Linhartice 16|571 01|Svitavy|Svitavy|Pardubicky|| || || |2003-06-03|2002-07-16 00:00:00|Cermakova|||A|| ||k 8981/2002|
Mestske kulturni stredisko Kojetin, prispevkova organizace|368903|nam. Republiky 1033|752 01|Kojetin|Prerov|Olomoucky||zajistovani kulturnich hodnot a aktivit|||Mestska knihovna v Kojetine|120|zakladni|public|nam. Republiky 1033|752 01|Kojetin|Prerov|Olomoucky|| || ||PRG507|2003-06-03|2002-07-16 00:00:00|Cermakova|||A|| ||k 8992/2002|
Mesto Bochov|254444|nam. Miru 1|364 71|Bochov|Karlovy Vary|Karlovarsky||obecni urad|||Mestska knihovna a infocentrum Bochov|121|zakladni|public|Obuvnicka 59|364 71|Bochov|Karlovy Vary|Karlovarsky|| |knihovna@mesto-bochov| ||KVG502|2003-06-03|2002-07-16 00:00:00|Cermakova|2008-02-09 00:00:00|St. Firstova|A||||k 8932/2002|
Obec Hajek|573230|Hajek 68|363 01|Ostrov nad Ohri|Karlovy Vary|Karlovarsky||obecni urad|||Zakladni knihovna v Hajku|122|zakladni|public|Hajek 20|363 01|Ostrov nad Ohri|Karlovy Vary|Karlovarsky|| || || |2003-06-03|2002-07-16 00:00:00|Cermakova|||A|| ||k 8921/2002|
Mesto Hodonin|284891|Masarykovo nam. 1|695 35|Hodonin|Hodonin|Jihomoravsky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Mestska knihovna Hodonin|123|zakladni|public|Narodni trida 36|695 14|Hodonin|Hodonin|Jihomoravsky|| |www.knihovnahod.cz| || |2003-06-03|2002-07-16 00:00:00|Cermakova|2011-03-11 00:00:00|M. Fojtik|A||||k 8870/2002|
Mesto Bzenec|284807|nam. Svobody 73|696 81|Bzenec|Hodonin|Jihomoravsky||mestsky urad|||Mestska knihovna v Bzenci|124|zakladni|public|nam. Svobody 73|696 81|Bzenec|Hodonin|Jihomoravsky|| |www.knihovna.bzenec.cz| ||HOG505|2003-06-03|2002-07-16 00:00:00|Cermakova|2003-03-04 00:00:00|Cermakova|A||||k 3308/2003|
Obec Cejc|284815|Cejc 430|696 14|Cejc|Hodonin|Jihomoravsky||obecni urad|||Knihovna Cejc|125|zakladni|public|Cejc 430|696 14|Cejc|Hodonin|Jihomoravsky|| |http://www.knihovnacejc.webk.cz/| ||HOG514|2003-06-06|2002-07-16 00:00:00|Cermakova|2003-06-06 00:00:00|Cermakova|A||||k 9163/2003|
Mesto Dubnany|284882|nam. 15.dubna 1149|696 03|Dubnany|Hodonin|Jihomoravsky||mestsky urad|||Mestska knihovna Dubnany|126|zakladni|public|Komenskeho 17|696 03|Dubnany|Hodonin|Jihomoravsky||mek.dubnany@ipnet.cz|| ||HOG512|2003-06-03|2002-07-16 00:00:00|Cermakova|2003-05-05 00:00:00|Cermakova|A||||k 7734/2003|
